Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,El Paso Nat Gas Co,Main Line,Max Capacity (West),,"4,679","4,497","4,497","4,497","4,497","4,497","4,497","4,497","4,685","4,685","4,685","4,685"
,,,,,,,,,,,,,,,,
,Empire Pipeline Inc,M1,Ontario,New York,750,750,750,750,750,750,750,750,750,750,750,525
,Empire Pipeline Inc,L1,Pennsylvania,New York,350,350,350,350,350,350,350,350,0,0,0,0
,Empire Pipeline Inc,L1 Back,New York,Ontario,350,350,350,350,350,350,350,350,0,0,0,0
,Empire Pipeline Inc,Main Line,Max Capacity (West),,750,750,750,750,750,750,750,750,750,750,750,525
,,,,,,,,,,,,,,,,
,"Enable Gas Transmission, LLC",M1,Texas,Oklahoma,100,100,100,100,100,100,100,100,100,100,100,100
,"Enable Gas Transmission, LLC",M2,Oklahoma,Kansas,40,40,40,40,40,40,40,40,40,40,40,40
,"Enable Gas Transmission, LLC",M3,Oklahoma,Arkansas,"1,786","1,786","1,786","1,786","1,786","1,786","1,786","1,786","1,786","1,786","1,654","1,654"
,"Enable Gas Transmission, LLC",M4,Arkansas,Missouri,100,100,100,100,100,100,100,100,100,100,100,100
,"Enable Gas Transmission, LLC",M5,Arkansas,Texas,150,150,150,150,150,150,150,150,150,150,150,150
,"Enable Gas Transmission, LLC",M6,Texas,Louisiana,"2,087","2,087","2,087","2,087","2,087","2,087","2,087","2,087","2,087","1,813","1,813","1,497"
,"Enable Gas Transmission, LLC",M7,Tennessee,Arkansas,25,25,25,25,25,25,25,25,25,25,25,25
,"Enable Gas Transmission, LLC",M8,Louisiana,Arkansas,135,135,135,135,135,135,135,135,135,135,135,135
,"Enable Gas Transmission, LLC",M8 Back,Arkansas,Louisiana,156,156,156,156,156,156,156,156,156,156,156,156
,"Enable Gas Transmission, LLC",M6 Back,Louisiana,Texas,25,25,25,25,25,25,25,25,25,25,25,25
,"Enable Gas Transmission, LLC",M4 Back,Missouri,Arkansas,25,25,25,25,25,25,25,25,25,25,25,25
