Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Iroquois Pipeline Co,M2,New York,Connecticut,866.0,866.0,866.0,866.0,866.0,866.0,866.0,866.0,866.0,866.0,866.0,773.0
Iroquois Pipeline Co,M3,Connecticut,New York,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,520.0,420.0
Kern River Gas Trans Co,M1,Wyoming,Utah,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0,2010.0,1865.0,1865.0,1865.0
Kern River Gas Trans Co,M2,Utah,Nevada,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2179.0,2034.0,2034.0,2034.0
Kern River Gas Trans Co,M3,Nevada,California,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,1880.0,1735.0,1735.0,1735.0
Maritimes/Northeast PL Co,M1,New Brunswick,Maine,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,415.0,415.0
Maritimes/Northeast PL Co,M2,Maine,New Hampshire,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,628.0,628.0
Maritimes/Northeast PL Co,M3,New Hampshire,Massachusetts,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,628.0,628.0
Maritimes/Northeast PL Co,M1 Back,Maine,New Brunswick,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,415.0,415.0
Midcontinent Express Pipeline LLC,M1,Oklahoma,Texas,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1533.0,0.0,0.0
Midcontinent Express Pipeline LLC,M2,Texas,Louisiana,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1533.0,0.0,0.0
Midcontinent Express Pipeline LLC,M3,Louisiana,Mississippi,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,0.0,0.0
Midcontinent Express Pipeline LLC,M4,Mississippi,Alabama,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,0.0,0.0
Midwestern Gas Trans Co,M1,Tennessee,Kentucky,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0
Midwestern Gas Trans Co,M2,Kentucky,Indiana,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
Midwestern Gas Trans Co,M3,Indiana,Illinois,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0
Midwestern Gas Trans Co,M3 Back,Illinois,Indiana,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,565.0,565.0,565.0
Midwestern Gas Trans Co,M2 Back,Indiana,Kentucky,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Midwestern Gas Trans Co,M1 Back,Kentucky,Tennessee,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Nat Gas P L Co Of America,MC1,Texas,New Mexico,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
Nat Gas P L Co Of America,MC2,New Mexico,Texas,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0
